id;AUTHOR;COMPNAM;CREAT;CREAT1;CREAT2;DESCRI;GEOGR;IDENTIF;INSCR;INV;IWAY;IZGOT;NCOMP;NFOND;SIZES;SPIEX;SPIRUBR;VLAD;path_xml;path_miniature;path_fullsize
00115964;Кулаков П.Е.;Фотография для стереоскопа;1908;1908;1908;-1;Ясная Поляна;ГМТ КП-11486/21;-1;Ф-12746;Закупка;"Стереоскопическое издательство ""Свет""";-1;Фотофонд;7,4х7,1 (одна фотография) 8,8х17,9 (бланк);-1;Портреты (в т.ч. групповые);Баскаков Л.И.;./xmls/00115964.xml;./miniatures/00115964.xml;./fullsize/00115964.xml
00136165;Бодянский И.А.;Увеличенный переснимок;1903 г.;1903;1903;-1;Ясная Поляна;ГМТ КП-5954/3;-1;Ф-1125;Дар;-1;-1;Фотофонд;17,8х23,5;-1;1900-е годы (юбилей в 1908г – отдельная рубрика);Долинино-Иванская Александра Леонидовна (Толстая);./xmls/00136165.xml;./miniatures/00136165.xml;./fullsize/00136165.xml
00136603;Смирнов;-1;9 ноября 1910 г.;1910;1910;-1;Ясная Поляна;ГМТ КП-5680/6;-1;Ф-1469;Закупка;-1;-1;Фотофонд;10,3х16,5;-1;Похороны Л.Н.Толстого в Ясной Поляне;Замятина Н. П.;./xmls/00136603.xml;./miniatures/00136603.xml;./fullsize/00136603.xml
00106918;Соловьев В.С.;Две могилы в общей чугунной ограде. За решёткой в центре памятник - беломраморная стела Ване. Перед решёткой высокая берёза. На втором плане многоэтажное строение.;1932 г.;1932;1932;-1;с. Никольское Московской губ.;ГМТ КП-7448/1;-1;Ф-1597;Закупка;-1;-1;Фотофонд;10,3х16,7;-1;Могилы и похороны разных лиц;Соловьев Владимир Сергеевич;./xmls/00106918.xml;./miniatures/00106918.xml;./fullsize/00106918.xml
00142182;-1;-1;1930-е гг.?;1930;1939;-1;-1;ГМТ КП-13123/82;-1;Ф-13637/82;Безвозмездная передача;-1;Альбом фотографий Е.С. Денисенко.;Фотофонд;6,0х5,4;-1;Писатели, поэты, литераторы;из архива Денисенко Е.С.;./xmls/00142182.xml;./miniatures/00142182.xml;./fullsize/00142182.xml
00124207;Морозов С.;-1;1912;1912;1912;-1;Ясная Поляна;ГМТ КП-14752/5;-1;Ф-13703/5;Закупка;-1;Альбом фотографий с видами Ясной Поляны работы С. Морозова;Фотофонд;16,4х22,5 (фотобумага ч/б);-1;Дома и др. строения;Хитрово Наталия Михайловна;./xmls/00124207.xml;./miniatures/00124207.xml;./fullsize/00124207.xml
00142196;-1;-1;Конец 1920-х - начало 1930-х гг.;1920;1930;-1;Ясная Поляна.;ГМТ КП-13123/85;-1;Ф-13637/85;Безвозмездная передача;-1;Альбом фотографий Е.С. Денисенко.;Фотофонд;8,0х5,5;-1;Представители светского общества. Типажи;из архива Денисенко Е.С.;./xmls/00142196.xml;./miniatures/00142196.xml;./fullsize/00142196.xml
00124213;Ренар О.;Переснимок;1909 октябрь;1909;1909;-1;Ясная Поляна;ГМТ КП-7567/1;-1;Ф-22316;Закупка;-1;Альбом «Фото Л.Н.Толстого, ст. Астапово, дома Озолина И.»;Фотофонд;13,7х8,7 (фотобумага ч/б);-1;1900-е годы (юбилей в 1908г – отдельная рубрика);Милицына С. Э.;./xmls/00124213.xml;./miniatures/00124213.xml;./fullsize/00124213.xml
00135478;Протасевич Ф.Т. (?);-1;1903 г.;1903;1903;-1;Ясная Поляна.;ГМТ КП-5628/134;-1;Ф-10713;Закупка;-1;-1;Фотофонд;6,4х7,6;-1;Л.Н.Толстой в кругу родных и знакомых;Лисовская Эмилия Федоровна;./xmls/00135478.xml;./miniatures/00135478.xml;./fullsize/00135478.xml
00111280;-1;-1;1916-1917 г.г.;1916;1917;-1;Ясная Поляна;ГМТ КП-6832/2;-1;Ф-6436;Дар;-1;-1;Фотофонд;28,0х49,4 (фото) 46,7х65,2 (картон);-1;-1;Сухотина-Толстая Т. Л.;./xmls/00111280.xml;./miniatures/00111280.xml;./fullsize/00111280.xml
00140971;Чертков В.Г.;Л.Н. верхом, около лошади В.Г.Чертков, рядом деревенские дети;1909 г.;1909;1909;-1;Вяземы;ГМТ КП-7900/11;-1;Ф-2821;Безвозмездная передача;-1;-1;Фотофонд;14,0х22,0;-1;Л.Н.Толстой с одной персоной;Рукописный отдел ГМТ;./xmls/00140971.xml;./miniatures/00140971.xml;./fullsize/00140971.xml
00140965;Чертков В.Г.;-1;1909 г.;1909;1909;-1;Телятинки;ГМТ КП-7900/5;-1;Ф-591;Безвозмездная передача;-1;-1;Фотофонд;16,4х22,7;-1;Л.Н.Толстой и крестьяне, 1910гг.;Рукописный отдел ГМТ;./xmls/00140965.xml;./miniatures/00140965.xml;./fullsize/00140965.xml
00106930;Эйдинов А.Я.;Вид с северной стороны на кирпичную квадратную часовню с двускатной крышей. Слева около склепа в чугунной ограде, в зарослях травы - стела из известняка на могиле Т.А. Ергольской;1928 г.;1928;1928;-1;Кочаки;ГМТ КП-6024/1;-1;Ф-1600;Закупка;-1;-1;Фотофонд;12,2х16,8 фото 17,5х23,1 картон;-1;Могилы и похороны разных лиц;Эйдинов А. Я.;./xmls/00106930.xml;./miniatures/00106930.xml;./fullsize/00106930.xml
